,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari,Oferta,Promocio,URL
42,Nadal,Formatges,-,-,-,"MOLÍ ALZINA Trio formatge de cabra, ovella i vaca","8,95 €",0.45kg,"(19,89 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/50315/details
43,Nadal,Formatges,-,-,-,EL PASTOR Taula formatges selecció,"2,99 €",0.18kg,"(16,61 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/11358/details
44,Nadal,Formatges,-,-,-,PAPILLON Formatge d'ovella Ron Du Val,"3,39 €",0.15kg,"(22,60 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/06532/details
45,Congelats,Fleca,-,-,-, Pa rodó tallat de 850 grams,"2,95 €",0.85kg,"(3,47 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/50760/details
46,Congelats,Fleca,-,-,-, Pa rodó tallat de 450 grams,"1,95 €",0.45kg,"(4,33 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/50709/details
47,Congelats,Fleca,-,-,-, Barreta de pa,"1,00 €",0.24kg,"(4,17 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/50802/details
48,Congelats,Fleca,-,-,-,MAHESO Baguetines congelades,"1,99 €",4 per paquet,"(0,50 € per article)",No,-,https://www.compraonline.bonpreuesclat.cat/products/88176/details
49,Congelats,Fleca,-,-,-,MAHESO Porres,"2,45 €",0.32kg,"(7,66 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/72206/details
50,Congelats,Fleca,-,-,-,MAHESO Xurros llaç,"1,35 €",0.4kg,"(3,38 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/58993/details
51,Congelats,Fleca,-,-,-, Barreta de pa,"1,00 €",0.24kg,"(4,17 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/50802/details
52,Congelats,Fleca,-,-,-, Pa rodó tallat de 450 grams,"1,95 €",0.45kg,"(4,33 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/50709/details
53,Congelats,Fleca,-,-,-, Pa rodó tallat de 850 grams,"2,95 €",0.85kg,"(3,47 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/50760/details
54,Congelats,Fleca,-,-,-,HORNO TERESA Trena de panses,"5,95 €",0.35kg,"(17,00 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/52244/details
55,Nadal,Avança't al Nadal,-,-,-,PARXET Cava Brut Nature Vintage,"11,65 €",0.75L,"(15,53 € per litre)",Si,"Lot estalvi a 23,95 euros/lot. Clica aquí",https://www.compraonline.bonpreuesclat.cat/products/27887/details
56,Nadal,Avança't al Nadal,-,-,-,MONTBRÚ Formatge de cabra semicurat km0,"23,95 €",1kg,"(23,95 € per quilo)",Si,"Lot estalvi a 23,95 euros/lot. Clica aquí",https://www.compraonline.bonpreuesclat.cat/products/76756/details
57,Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola,"7,68 €",12 x 0.33L,"(1,94 € per litre)",Si,"Abans 8,28€",https://www.compraonline.bonpreuesclat.cat/products/72156/details
58,Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola Zero,"6,96 €",12 x 0.33L,"(1,76 € per litre)",Si,"Abans 7,56€",https://www.compraonline.bonpreuesclat.cat/products/72158/details
59,Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola,"1,46 €",1.25L,"(1,17 € per litre)",Si,"Lot estalvi a 7,99 euros/lot. Clica aquí",https://www.compraonline.bonpreuesclat.cat/products/26663/details
60,Nadal,Refrescs,-,-,-,TRINA Refresc de taronja sense gas,"1,15 €",1.5L,"(0,77 € per litre)",Si,"Abans 1,39€",https://www.compraonline.bonpreuesclat.cat/products/02429/details
61,Nadal,Refrescs,-,-,-,FANTA Refresc de taronja,"2,00 €",2 x 2L,"(0,50 € per litre)",Si,"Abans 2,54€",https://www.compraonline.bonpreuesclat.cat/products/85371/details
62,Nadal,Refrescs,-,-,-,FANTA Refresc de llimona amb gas,"2,00 €",2 x 2L,"(0,50 € per litre)",Si,"Abans 2,60€",https://www.compraonline.bonpreuesclat.cat/products/85372/details
63,Nadal,Refrescs,-,-,-,LIMON & NADA Refresc de llimona sense gas,"1,17 €",1L,"(1,17 € per litre)",Si,"Abans 1,37€",https://www.compraonline.bonpreuesclat.cat/products/35550/details
64,Nadal,Refrescs,-,-,-,SCHUSS Gasosa,"0,45 €",1L,"(0,45 € per litre)",Si,3 unitats a 1.00 EUR,https://www.compraonline.bonpreuesclat.cat/products/68358/details
65,Nadal,Refrescs,-,-,-,TRINA Refresc de llimona sense gas,"1,15 €",1.5L,"(0,77 € per litre)",Si,"Abans 1,39€",https://www.compraonline.bonpreuesclat.cat/products/02430/details
66,Nadal,Refrescs,-,-,-,COCA COLA Refresc de cola zero sense cafeïna,"1,00 €",1.25L,"(0,80 € per litre)",Si,"Abans 1,25€",https://www.compraonline.bonpreuesclat.cat/products/32507/details
67,Nadal,Refrescs,-,-,-,COCA COLA Refresc de cola zero sense cafeïna,"6,96 €",12 x 0.33L,"(1,76 € per litre)",Si,"Abans 7,56€",https://www.compraonline.bonpreuesclat.cat/products/37737/details
68,Nadal,Refrescs,-,-,-,PEPSI MAX Refresc de cola,"0,98 €",1.25L,"(0,78 € per litre)",Si,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/54970/details
