Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari,Oferta,Promocio,URL,Date
Nadal,Refrescs,-,-,-,LIMON & NADA Refresc de llimona sense gas,"1,17 €",1L,"(1,17 € per litre)",SI,"Abans 1,37€",https://www.compraonline.bonpreuesclat.cat/products/35550/details,02/11/2020
Nadal,Refrescs,-,-,-,SCHUSS Gasosa,"0,45 €",1L,"(0,45 € per litre)",SI,3 unitats a 1.00 EUR,https://www.compraonline.bonpreuesclat.cat/products/68358/details,02/11/2020
Nadal,Refrescs,-,-,-,TRINA Refresc de llimona sense gas,"1,15 €",1.5L,"(0,77 € per litre)",SI,"Abans 1,39€",https://www.compraonline.bonpreuesclat.cat/products/02430/details,02/11/2020
Nadal,Refrescs,-,-,-,COCA COLA Refresc de cola zero sense cafeïna,"1,00 €",1.25L,"(0,80 € per litre)",SI,"Abans 1,25€",https://www.compraonline.bonpreuesclat.cat/products/32507/details,02/11/2020
Nadal,Refrescs,-,-,-,COCA COLA Refresc de cola zero sense cafeïna,"6,96 €",12 x 0.33L,"(1,76 € per litre)",SI,"Abans 7,56€",https://www.compraonline.bonpreuesclat.cat/products/37737/details,02/11/2020
Nadal,Refrescs,-,-,-,PEPSI MAX Refresc de cola,"0,98 €",1.25L,"(0,78 € per litre)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/54970/details,02/11/2020
Nadal,Refrescs,-,-,-,LIPTON Refresc de te verd amb gust de préssec,"1,00 €",1L,"(1,00 € per litre)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/57396/details,02/11/2020
Nadal,Refrescs,-,-,-,LIPTON Refresc te menta/llima,"1,00 €",1L,"(1,00 € per litre)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/57448/details,02/11/2020
Nadal,Refrescs,-,-,-,BONPREU Gasosa,"0,25 €",1.5L,"(0,17 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/01184/details,02/11/2020
Nadal,Refrescs,-,-,-,SCHWEPPES Refresc tònica,"1,55 €",1L,"(1,55 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/83040/details,02/11/2020
Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola zero,"1,25 €",1.25L,"(1,00 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/26731/details,02/11/2020
Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola,"14,88 €",24 x 0.33L,"(1,88 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/81602/details,02/11/2020
Nadal,Refrescs,-,-,-,TRINA Refresc de taronja Zero sucres,"1,39 €",1.5L,"(0,93 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/34784/details,02/11/2020
Nadal,Refrescs,-,-,-,SCHWEPPES Refresc de llimona,"1,52 €",1L,"(1,52 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/27608/details,02/11/2020
Nadal,Refrescs,-,-,-,PEPSI MAX Refresc de cola Max,"1,25 €",2L,"(0,63 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/02116/details,02/11/2020
Nadal,Refrescs,-,-,-,NESTEA Refresc de te a la llimona sense sucre,"1,49 €",1.5L,"(0,99 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/26626/details,02/11/2020
Nadal,Refrescs,-,-,-,COCA-COLA Refresc de cola,"1,92 €",2L,"(0,96 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/07492/details,02/11/2020
Nadal,Refrescs,-,-,-,LA CASERA Gasosa,"0,85 €",1.5L,"(0,57 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/23676/details,02/11/2020
Nadal,Refrescs,-,-,-,COCA COLA Refresc de cola Zero sense cafeïna,"3,04 €",2 x 2L,"(0,76 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/02900/details,02/11/2020
