,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari
3439,Parafarmàcia,Cura dental,Col·lutoris i elixirs,-,-,KIN Col·lutori bucal de maduixa amb fluor,"6,49 €",0.5L,"(12,98 € per litre)"
3440,Parafarmàcia,Cura dental,Col·lutoris i elixirs,-,-,SENSILACER Col·lutori desensibilitzant,"7,59 €",0.5L,"(15,18 € per litre)"
3441,Parafarmàcia,Cura dental,Col·lutoris i elixirs,-,-,LACER Col·lutori clorhexidina,"5,69 €",0.2L,"(28,45 € per litre)"
3442,Parafarmàcia,Cura dental,Col·lutoris i elixirs,-,-,LACER BLANC Col·lutori citrus,"7,69 €",0.5L,"(15,38 € per litre)"
3443,Parafarmàcia,Cura dental,Col·lutoris i elixirs,-,-,ORTOLACER Col·lutori llima fresca,"8,49 €",0.5L,"(16,98 € per litre)"
3444,Parafarmàcia,Cura dental,Col·lutoris i elixirs,-,-,BEXIDENT Col·lutori bucal,"5,75 €",0.5L,"(11,50 € per litre)"
3445,Parafarmàcia,Cura dental,Col·lutoris i elixirs,-,-,BEXIDENT Col·lutori bucal,"9,99 €",0.5L,"(19,98 € per litre)"
3446,Parafarmàcia,Cura dental,Col·lutoris i elixirs,-,-,KIN JUNIOR Col·lutori bucal infantil,"4,85 €",0.5L,"(9,70 € per litre)"
3447,Parafarmàcia,Cura dental,Col·lutoris i elixirs,-,-,BEXIDENT Col·lutori bucal,"8,25 €",0.5L,"(16,50 € per litre)"
3448,Parafarmàcia,Cura dental,Col·lutoris i elixirs,-,-,BEXIDENT Col·lutori bucal,"9,80 €",0.5L,"(19,60 € per litre)"
3449,Parafarmàcia,Cura dental,Raspalls de dents,-,-,KIN Raspall dental infantil,"4,35 €",2 per paquet,"(2,18 € per article)"
3450,Parafarmàcia,Cura dental,Raspalls de dents,-,-,LACER Raspall interdental angular extrafí,"4,19 €",6 per paquet,"(0,70 € per article)"
3451,Parafarmàcia,Cura dental,Raspalls de dents,-,-,LACER Raspall interdental angular ultrafí,"4,19 €",6 per paquet,"(0,70 € per article)"
3452,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3453,Parafarmàcia,Cura dental,Raspalls de dents,-,-,LACER Raspalls interdentals ultrafins,"4,19 €",6 per paquet,"(0,70 € per article)"
3454,Parafarmàcia,Cura dental,Raspalls de dents,-,-,KIN Raspall dental mig,"4,35 €",2 per paquet,"(2,18 € per article)"
3455,Parafarmàcia,Cura dental,Raspalls de dents,-,-,LACER Raspalls interdentals extrafins,"4,19 €",6 per paquet,"(0,70 € per article)"
3456,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3457,Parafarmàcia,Cura dental,Raspalls de dents,-,-,LACER Raspalls interdentals fins,"4,19 €",6 per paquet,"(0,70 € per article)"
3458,Parafarmàcia,Cura dental,Raspalls de dents,-,-,LACER Raspalls interdentals extrafins suaus,"4,19 €",6 per paquet,"(0,70 € per article)"
3459,Parafarmàcia,Cura dental,Raspalls de dents,-,-,KIN Raspall de dent Junior,"4,35 €",2 per paquet,"(2,18 € per article)"
3460,Parafarmàcia,Cura dental,Raspalls de dents,-,-,KIN Raspall dental suau,"4,35 €",2 per paquet,"(2,18 € per article)"
3461,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3462,Parafarmàcia,Cura dental,Raspalls de dents,-,-,INTERPROX Raspall interdental mini plus,"6,99 €",6 per paquet,"(1,17 € per article)"
3463,Parafarmàcia,Cura dental,Raspalls de dents,-,-,INTERPROX Raspall interdental nano,"6,99 €",6 per paquet,"(1,17 € per article)"
3464,Parafarmàcia,Cura dental,Raspalls de dents,-,-,INTERPROX Raspall interdental cònic,"6,99 €",6 per paquet,"(1,17 € per article)"
3465,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3466,Parafarmàcia,Cura dental,Raspalls de dents,-,-,INTERPROX Raspall interdental micro,"6,99 €",6 per paquet,"(1,17 € per article)"
3467,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3468,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3469,Parafarmàcia,Cura dental,Raspalls de dents,-,-,INTERPROX Raspall interdental mini,"6,99 €",6 per paquet,"(1,17 € per article)"
3470,Parafarmàcia,Cura dental,Raspalls de dents,-,-,LACER Recanvis per raspall elèctric adult,"9,30 €",2 x 1 per paquet,"(4,65 € per article)"
3471,Parafarmàcia,Cura dental,Raspalls de dents,-,-,INTERPROX Raspall interdental cònic,"6,99 €",6 per paquet,"(1,17 € per article)"
3472,Parafarmàcia,Cura dental,Raspalls de dents,-,-,INTERPROX Raspall interdental super micro,"6,99 €",6 per paquet,"(1,17 € per article)"
3473,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3474,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3475,Parafarmàcia,Cura dental,Raspalls de dents,-,-,LACER PICKS Raspalls interdentals,"5,65 €",6 per paquet,"(0,94 € per article)"
3476,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3477,Parafarmàcia,Cura dental,Fil i cera dental,-,-,ORTOLACER Cera d'ortodòncia en barres,"3,69 €",7 per paquet,"(0,53 € per article)"
3478,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3479,Parafarmàcia,Cura dental,Fil i cera dental,-,-,LACER Cinta dental fibra ptfe suau,"4,49 €",50m,"(0,09 € per mil·lilitre)"
3480,Parafarmàcia,Cura dental,Pròtesis,-,-,POLIDENT Netejador dentadures,"4,70 €",36 per paquet,"(0,13 € per article)"
3481,Parafarmàcia,Cura dental,Pròtesis,-,-,POLIDENT Crema fixadora sense sabor,"4,95 €",0.04kg,"(123,75 € per quilo)"
3482,Parafarmàcia,Cura dental,Pròtesis,-,-,COREGA Crema fixadora extra forta,"16,69 €",0.07kg,"(238,43 € per quilo)"
3483,Parafarmàcia,Cura dental,Pròtesis,-,-,COREGA Crema adhesiva sense gust,"14,49 €",0.07kg,"(207,00 € per quilo)"
3484,Parafarmàcia,Cura dental,Pròtesis,-,-,COREGA Crema fixadora per a pròtesis dentals,"10,25 €",0.04kg,"(256,25 € per quilo)"
3485,Parafarmàcia,Cura dental,Pròtesis,-,-,STERADENT Neteja pròtesis triple acció,"19,49 €",90 per paquet,"(0,22 € per article)"
3486,Parafarmàcia,Cura dental,Pròtesis,-,-,COREGA Neteja pròtesis blanquejador,"9,99 €",30 per paquet,"(0,33 € per article)"
3487,Parafarmàcia,Cura dental,Pròtesis,-,-,ALGASIV Adhesiu en tires inferior,"11,15 €",30 per paquet,"(0,37 € per article)"
3488,Parafarmàcia,Cura dental,Pròtesis,-,-,KUKIDENT Crema adhesiva pròtesis,"14,49 €",0.07kg,"(207,00 € per quilo)"
3489,Parafarmàcia,Primera infància,Llets infantils,-,-,BLEMIL Llet en pols 3 Creixement,"21,95 €",1.2kg,"(18,29 € per quilo)"
3490,Parafarmàcia,Primera infància,Llets infantils,-,-,BLEMIL Llet en pols 1 Forte,"28,95 €",1.2kg,"(24,12 € per quilo)"
3491,Parafarmàcia,Primera infància,Llets infantils,-,-,NUTRIBEN Llet de creixement en pols,"13,99 €",0.8kg,"(17,49 € per quilo)"
3492,Parafarmàcia,Primera infància,Llets infantils,-,-,ALMIRÓN Llet per a lactants,"20,99 €",0.8kg,"(26,24 € per quilo)"
3493,Parafarmàcia,Primera infància,Llets infantils,-,-,ALMIRÓN Llet per a lactants,"22,40 €",0.8kg,"(28,00 € per quilo)"
3494,Parafarmàcia,Primera infància,Farinetes i altres,-,-,BLEVIT PLUS Farinetes 8 cereals Superfibra,"7,75 €",0.6kg,"(12,92 € per quilo)"
3495,Parafarmàcia,Primera infància,Farinetes i altres,-,-,BLEVIT PLUS Farinetes de cereals amb ColaCao,"8,40 €",0.6kg,"(14,00 € per quilo)"
3496,Parafarmàcia,Primera infància,Farinetes i altres,-,-,BLEVIT PLUS Farinetes 8 cereals i galeta maria,"8,95 €",2 x 0.3kg,"(14,92 € per quilo)"
3497,Parafarmàcia,Primera infància,Farinetes i altres,-,-,BLEVIT PLUS Farinetes multicereals amb fruita seca,"8,40 €",0.6kg,"(14,00 € per quilo)"
3498,Parafarmàcia,Primera infància,Farinetes i altres,-,-,NUTRIBEN Farinetes 5 cereals Fibra,"4,89 €",0.6kg,"(8,15 € per quilo)"
3499,Parafarmàcia,Primera infància,Farinetes i altres,-,-,BLEVIT Infusió camamilla i fonoll,"7,95 €",0.15kg,"(53,00 € per quilo)"
3500,Parafarmàcia,Primera infància,Farinetes i altres,-,-,NUTRIBEN Farinetes 8 cereals amb galetes,"4,89 €",0.6kg,"(8,15 € per quilo)"
3501,Parafarmàcia,Primera infància,Farinetes i altres,-,-,NUTRIBEN Farinetes 8 cereals amb mel,"4,89 €",0.6kg,"(8,15 € per quilo)"
3502,Parafarmàcia,Primera infància,Farinetes i altres,-,-,BLEVIT PLUS Farinetes Superfibra sense gluten,"7,75 €",0.6kg,"(12,92 € per quilo)"
3503,Parafarmàcia,Primera infància,Farinetes i altres,-,-,NUTRIBEN Farinetes 8 cereals amb mel i galeta,"4,89 €",0.6kg,"(8,15 € per quilo)"
3504,Parafarmàcia,Primera infància,Farinetes i altres,-,-,NUTRIBEN Farinetes 8 cereals Digest,"4,89 €",0.6kg,"(8,15 € per quilo)"
3505,Parafarmàcia,Primera infància,Farinetes i altres,-,-,NUTRIBEN Farinetes 8 cereals amb mel i fruita,"4,89 €",0.6kg,"(8,15 € per quilo)"
3506,Parafarmàcia,Primera infància,Farinetes i altres,-,-,NUTRIBEN Farinetes 8 cereals amb mel Fibra,"4,89 €",0.6kg,"(8,15 € per quilo)"
3507,Parafarmàcia,Primera infància,Farinetes i altres,-,-,BLEVIT PLUS Farinetes de cereals i fruita,"8,95 €",0.6kg,"(14,92 € per quilo)"
3508,Parafarmàcia,Primera infància,Farinetes i altres,-,-,NUTRIBEN Farinetes 8 cereals toc de mel,"4,89 €",0.6kg,"(8,15 € per quilo)"
3509,Parafarmàcia,Primera infància,Farinetes i altres,-,-,NUTRIBEN Farinetes de cereals sense gluten,"5,49 €",0.6kg,"(9,15 € per quilo)"
3510,Parafarmàcia,Primera infància,Farinetes i altres,-,-,NUTRIBEN Farinetes cacau amb galetes,"4,69 €",0.5kg,"(9,38 € per quilo)"
3511,Parafarmàcia,Primera infància,Farinetes i altres,-,-,BLEVIT Infusió instantània,"7,95 €",0.15kg,"(53,00 € per quilo)"
3512,Parafarmàcia,Primera infància,Farinetes i altres,-,-,BLEVIT PLUS Farinetes 8 cereals estil pa de pessic,"8,95 €",0.6kg,"(14,92 € per quilo)"
3513,Parafarmàcia,Primera infància,Farinetes i altres,-,-,BLEVIT PLUS Farinetes 8 cereals,"8,40 €",0.6kg,"(14,00 € per quilo)"
3514,Parafarmàcia,Primera infància,Farinetes i altres,-,-,BLEVIT Farinetes 8 cereals plus,"12,49 €",1kg,"(12,49 € per quilo)"
3515,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Sabó neteja biberons,"4,75 €",0.38L,"(12,50 € per litre)"
3516,Parafarmàcia,Primera infància,Puericultura,-,-,SUAVINEX Xumet fusió +18m,"8,99 €",2 per paquet,"(4,50 € per article)"
3517,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3518,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3519,Parafarmàcia,Primera infància,Puericultura,-,-,RHINOMER Aigua de mar en monodosis,"7,95 €",20 per paquet,"(0,40 € per article)"
3520,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Tetina de làtex 6-18 mesos First Choice,"7,99 €",3 per paquet,"(2,66 € per article)"
3521,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Lot amb biberó i tetina làtex 6-18mesos,"8,95 €",0.3L,"(29,83 € per litre)"
3522,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Lot amb biberó i tetina de silicona T1,"10,95 €",0.3L,"(36,50 € per litre)"
3523,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3524,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3525,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3526,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Lot amb biberó i tetina silicona 6-18m,"11,49 €",0.36L,"(31,92 € per litre)"
3527,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Lot biberó i tetina de silicona entrena,"12,69 €",0.15L,"(84,60 € per litre)"
3528,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3529,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3530,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3531,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3532,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Cullera de silicona,"7,59 €",2 per paquet,"(3,80 € per article)"
3533,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Xumet anatòmic de làtex +18 mesos,"7,59 €",2 per paquet,"(3,80 € per article)"
3534,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Xumet anatòmic de làtex 6-18 mesos,"7,59 €",2 per paquet,"(3,80 € per article)"
3535,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Tetina de làtex 0-6 mesos First Choice,"7,99 €",3 per paquet,"(2,66 € per article)"
3536,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Tetina de silicona +18 mesos,"7,99 €",2 per paquet,"(4,00 € per article)"
3537,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Bosses per llet materna,"10,59 €",25 per paquet,"(0,42 € per article)"
3538,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Lot amb biberó i tetina,"11,99 €",0.15L,"(79,93 € per litre)"
3539,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3540,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Xumet anatòmic de làtex 0-6 mesos,"7,59 €",2 per paquet,"(3,80 € per article)"
3541,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Tetina de silicona 6-18 mesos,"7,99 €",2 per paquet,"(4,00 € per article)"
3542,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Lot amb biberó i tetina de làtex T1,"7,99 €",0.15L,"(53,27 € per litre)"
3543,Parafarmàcia,Primera infància,Puericultura,-,-,NUK Lot amb biberó i tetina de silicona T2,"10,95 €",0.3kg,"(36,50 € per quilo)"
3544,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,BONPREU Tiretes protectores color pell,"0,66 €",20 per paquet,"(0,03 € per article)"
3545,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,BONPREU Tires protectores transparents 3 mides,"0,90 €",20 per paquet,"(0,05 € per article)"
3546,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,BONPREU Tiretes protectores per tallar,"0,99 €",10 per paquet,"(0,10 € per article)"
3547,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,HANSAPLAST Tiretes resistents a l'aigua,"2,99 €",20 per paquet,"(0,15 € per article)"
3548,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,HANSAPLAST Tiretes dibuixos Disney,"3,20 €",16 per paquet,"(0,20 € per article)"
3549,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,HANSAPLAST Tiretes Elastic a prova d'aigua,"2,65 €",20 per paquet,"(0,13 € per article)"
3550,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,BONPREU Tiretes protectores 3 mides,"0,90 €",30 per paquet,"(0,03 € per article)"
3551,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,HANSAPLAST Tiretes Sensitive,"2,25 €",20 per paquet,"(0,11 € per article)"
3552,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,COMPEED Apòsits per a butllofes mitjans,"6,49 €",5 per paquet,"(1,30 € per article)"
3553,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,COMPEED Assortiment d'apòsits per butllofes,"6,99 €",5 per paquet,"(1,40 € per article)"
3554,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,BONPREU Tires protectores infantils,"0,99 €",20 per paquet,"(0,05 € per article)"
3555,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,COMPEED Apòsits per a butllofes dits peus,"6,49 €",8 per paquet,"(0,81 € per article)"
3556,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,COMPEED Apòsits per a butllofes petites,"6,49 €",6 per paquet,"(1,08 € per article)"
3557,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,SALVELOX Apòsits per ulls de poll,"4,75 €",10 per paquet,"(0,48 € per article)"
3558,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,COMPEED Apòsit per a herpes labial,"9,99 €",15 per paquet,"(0,67 € per article)"
3559,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,HANSAPLAST Protector d'encetades,"4,99 €",2 per paquet,"(2,50 € per article)"
3560,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,NUK Discos de lactància,"10,99 €",60 per paquet,"(0,18 € per article)"
3561,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,SALVELOX Apòsits mitjans Cura dels peus,"4,99 €",6 per paquet,"(0,83 € per article)"
3562,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,COMPEED Apòsit protector Extreme,"6,99 €",5 per paquet,"(1,40 € per article)"
3563,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,HANSAPLAST Apòsits per durícies,"3,59 €",8 per paquet,"(0,45 € per article)"
3564,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,COMPEED Apòsit protector gran,"5,85 €",2 per paquet,"(2,93 € per article)"
3565,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,COMPEED Apòsit per galindons,"5,85 €",5 per paquet,"(1,17 € per article)"
3566,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,PREVEX Tiretes adhesives,"1,69 €",15 per paquet,"(0,11 € per article)"
3567,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,HANSAPLAST Tiretes dibuixos Marvel,"3,20 €",20 per paquet,"(0,16 € per article)"
3568,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,COMPEED Assortit d'apòsits,"3,79 €",5 per paquet,"(0,76 € per article)"
3569,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3570,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,COMPEED Apòsit per talons alts,"8,49 €",5 per paquet,"(1,70 € per article)"
3571,Parafarmàcia,Farmaciola,"Tiretes, apòsits i protectors",-,-,COMPEED Apòsit per talons mitjà,"12,49 €",5 per paquet,"(2,50 € per article)"
3572,Parafarmàcia,Farmaciola,"Cotó, gases estèrils i compreses",-,-,BONPREU Gasses estèrils,"1,39 €",10 per paquet,"(0,14 € per article)"
3573,Parafarmàcia,Farmaciola,"Cotó, gases estèrils i compreses",-,-,HANSAPLAST Gasses suaus,"1,99 €",10 per paquet,"(0,20 € per article)"
3574,Parafarmàcia,Farmaciola,"Cotó, gases estèrils i compreses",-,-,SILVER CARE Cotó ecològic,"1,35 €",0.1kg,"(13,50 € per quilo)"
3575,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3576,Parafarmàcia,Farmaciola,Benes i esparadrap,-,-,BONPREU Benes de cotó,"0,99 €",2 per paquet,"(0,50 € per article)"
3577,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3578,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3579,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3580,Parafarmàcia,Farmaciola,Alcohol i aigua oxigenada,-,-,HANSAPLAST Aigua oxigenada,"0,95 €",0.25L,"(3,80 € per litre)"
3581,Parafarmàcia,Farmaciola,Antisèptics i desinfectants,-,-,IFA Povidona iodada,"1,85 €",0.125L,"(14,80 € per litre)"
3582,Parafarmàcia,Farmaciola,Antisèptics i desinfectants,-,-,LEA Gel netejamans,"1,49 €",0.1 per paquet,"(14,90 € per article)"
3583,Parafarmàcia,Farmaciola,Antisèptics i desinfectants,-,-,AMUKINA Gel de mans antisèptic,"3,79 €",0.08L,"(47,38 € per litre)"
3584,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3585,Parafarmàcia,Farmaciola,Antisèptics i desinfectants,-,-,BABARIA Gel de mans higienitzant,"1,49 €",0.1L,"(14,90 € per litre)"
3586,Parafarmàcia,Farmaciola,Antisèptics i desinfectants,-,-,LIVERNY Gel de mans hidroalcohòlic,"1,99 €",0.225L,"(8,84 € per litre)"
3587,Parafarmàcia,Farmaciola,Antisèptics i desinfectants,-,-,SANYTOL Gel de mans desinfectant,"1,99 €",0.075 per paquet,"(26,53 € per article)"
3588,Parafarmàcia,Farmaciola,Antisèptics i desinfectants,-,-,SANYTOL Gel de mans desinfectant,"4,99 €",0.25L,"(19,96 € per litre)"
3589,Parafarmàcia,Farmaciola,Repel·lents insectes,-,-,AUTAN Repel·lent de mosquits,"6,99 €",0.1L,"(69,90 € per litre)"
3590,Parafarmàcia,Farmaciola,Repel·lents insectes,-,-,RELEC Repel·lent d'insectes extra fort,"12,99 €",0.075L,"(173,20 € per litre)"
3591,Parafarmàcia,Farmaciola,Preservatius i lubricants,-,-,DUREX Lubricant íntim original,"9,49 €",0.05L,"(189,80 € per litre)"
3592,Parafarmàcia,Farmaciola,Preservatius i lubricants,-,-,DUREX Massatge i lubricant 2 en 1,"11,95 €",0.2L,"(59,75 € per litre)"
3593,Parafarmàcia,Farmaciola,Preservatius i lubricants,-,-,DUREX Lubricant íntim maduixa,"9,40 €",0.05L,"(188,00 € per litre)"
3594,Parafarmàcia,Farmaciola,Preservatius i lubricants,-,-,CUMLAUDE Gel hidratant Mucus,"10,95 €",0.03L,"(365,00 € per litre)"
3595,Parafarmàcia,Farmaciola,Preservatius i lubricants,-,-,DUREX Lubricant íntim Natural,"11,25 €",0.1L,"(112,50 € per litre)"
3596,Parafarmàcia,Farmaciola,Antiàcids,-,-,SAL COSTA Bicarbonat,"0,73 €",0.2kg,"(3,65 € per quilo)"
3597,Parafarmàcia,Farmaciola,Antiàcids,-,-,SAL COSTA Sal de fruita,"2,75 €",0.15kg,"(18,33 € per quilo)"
3598,Parafarmàcia,Farmaciola,Antiàcids,-,-,COSTA Bicarbonat,"1,19 €",1kg,"(1,19 € per quilo)"
3599,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3600,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,PARANIX Tractament contra polls i llémenes,"15,25 €",0.2L,"(76,25 € per litre)"
3601,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,PARANIX Tractament contra polls i llèmenes,"15,25 €",0.1L,"(152,50 € per litre)"
3602,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3603,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,FISIOCREM Gel per a massatge,"19,95 €",0.25L,"(79,80 € per litre)"
3604,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,FISIOCREM Gel per a massatge,"6,95 €",0.06L,"(115,83 € per litre)"
3605,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,ORION Loció antipolls,"4,89 €",0.1L,"(48,90 € per litre)"
3606,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,PREVEX Taps oïda per soroll,"1,95 €",4 per paquet,"(0,49 € per article)"
3607,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,ARNIDOL Gel d'àrnica,"7,45 €",0.015kg,"(496,67 € per quilo)"
3608,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3609,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,TALQUISTINA Crema,"6,99 €",0.05L,"(139,80 € per litre)"
3610,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3611,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,RHINOMER Aigua de mar,"9,99 €",0.135L,"(74,00 € per litre)"
3612,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3613,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,3M Taps protecció auditiva,"3,25 €",2 per paquet,"(1,63 € per article)"
3614,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,EUDERMIN Talc,"1,59 €",0.2kg,"(7,95 € per quilo)"
3615,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,TALQUISTINA Talc pell irritada,"6,99 €",0.05kg,"(139,80 € per quilo)"
3616,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,TENA Compresa masculina per incontinència N.2,"4,65 €",10 per paquet,"(0,47 € per article)"
3617,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,HALIBUT Pomada regeneradora,"7,49 €",0.045kg,"(166,44 € per quilo)"
3618,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,RHINOMER Aigua de mar suau,"9,99 €",0.115kg,"(86,87 € per quilo)"
3619,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,OTC Antipolls,"12,49 €",0.125L,"(99,92 € per litre)"
3620,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,SILVER CARE Bastonets per les orelles,"1,80 €",200 per paquet,"(0,01 € per article)"
3621,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3622,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,RHINOMER Aigua de mar força,"9,99 €",0.135L,"(74,00 € per litre)"
3623,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3624,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,NEUTROGENA Bàlsam reparació immediata nas i llavis,"6,49 €",0.015L,"(432,67 € per litre)"
3625,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,RHINOMER Aigua de mar força 3,"9,99 €",0.135L,"(74,00 € per litre)"
3626,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,OTC Loció antipolls,"21,49 €",0.125L,"(171,92 € per litre)"
3627,Parafarmàcia,Farmaciola,Resta farmaciola,-,-,NEXCARE Pegat tèrmic,"5,59 €",2 x 0.5 per paquet,"(5,59 € per article)"
3628,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
3629,Parafarmàcia,Complements alimentaris i dietètics,Barretes,-,-,SIKEN DIET Barretes de xocolata,"6,99 €",5 per paquet,"(1,40 € per article)"
