,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari
176,Castanyada,Per beure,-,-,-,RUSSET Ratafia,"9,95 €",0.7L,"(14,21 € per litre)"
177,Castanyada,Per beure,-,-,-,DE L'AVIA Ratafia,"7,95 €",0.7L,"(11,36 € per litre)"
178,Castanyada,Per beure,-,-,-,BOSCH Ratafia,"9,79 €",0.7L,"(13,99 € per litre)"
179,Castanyada,Per beure,-,-,-,TORRES Moscatell,"7,65 €",0.5L,"(15,30 € per litre)"
180,Castanyada,Per beure,-,-,-,ETIM Vi ranci,"7,95 €",0.5L,"(15,90 € per litre)"
181,Castanyada,Per beure,-,-,-,GRAMONA Vi dolç de gel,"16,65 €",0.375L,"(44,40 € per litre)"
182,Castanyada,Per beure,-,-,-,DE L'AVIA Crema de licor de ratafia,"7,95 €",0.7L,"(11,36 € per litre)"
183,Castanyada,Per beure,-,-,-,ESPOLLA Vi ranci de cuina,"2,99 €",0.5L,"(5,98 € per litre)"
184,Castanyada,Per beure,-,-,-,SINOLS Moscatell DO Empordà,"7,59 €",0.5L,"(15,18 € per litre)"
185,Castanyada,Per beure,-,-,-,J. SALLA Mistela,"5,95 €",0.75L,"(7,93 € per litre)"
186,Castanyada,Per beure,-,-,-,J. SALLA Dolç de moscatell,"5,95 €",0.75L,"(7,93 € per litre)"
187,Castanyada,Per beure,-,-,-,J. SALLA Vi ranci,"5,95 €",0.75L,"(7,93 € per litre)"
188,Castanyada,Per beure,-,-,-,ÈTIM Vi dolç Verema Tardana DO Montsant,"7,95 €",0.5L,"(15,90 € per litre)"
189,Castanyada,Per beure,-,-,-,L'HÒSTIA Ratafia,"17,99 €",1L,"(17,99 € per litre)"
190,Castanyada,Ingredients per panellets,-,-,-,FRIT RAVICH Ametlla crua repelada,"1,99 €",0.16kg,"(12,44 € per quilo)"
191,Castanyada,Ingredients per panellets,-,-,-,VALOR Cacau pur en pols desgreixat,"3,82 €",0.25kg,"(15,28 € per quilo)"
192,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
193,Castanyada,Ingredients per panellets,-,-,-,BONPREU Ous frescos ecològics mitjans i grossos,"2,25 €",6 per paquet,"(0,38 € per article)"
194,Castanyada,Ingredients per panellets,-,-,-,LA COLLITA Patata per bullir bossa 2 kg,"2,19 €",2kg,"(1,10 € per quilo)"
195,Castanyada,Ingredients per panellets,-,-,-,SUCREBO Sucre blanc,"0,78 €",1kg,"(0,78 € per quilo)"
196,Castanyada,Ingredients per panellets,-,-,-,AZUCARERA Sucre fi,"0,80 €",1kg,"(0,80 € per quilo)"
197,Castanyada,Ingredients per panellets,-,-,-,AZUCARERA Sucre morè de canya integral,"1,49 €",0.8kg,"(1,86 € per quilo)"
198,Castanyada,Ingredients per panellets,-,-,-, Patata ecològica,"3,59 €",2kg,"(1,80 € per quilo)"
199,Castanyada,Ingredients per panellets,-,-,-,VILALTA Sucre de canya integral,"1,49 €",0.8kg,"(1,86 € per quilo)"
200,Castanyada,Ingredients per panellets,-,-,-,BONPREU Ametlles crues amb pell Km0,"2,50 €",0.2kg,"(12,50 € per quilo)"
201,Castanyada,Ingredients per panellets,-,-,-,BONPREU Ametlles repelades Km0,"3,49 €",0.2kg,"(17,45 € per quilo)"
202,Castanyada,Ingredients per panellets,-,-,-,BONPREU Codonyat,"1,79 €",0.25kg,"(7,16 € per quilo)"
203,Castanyada,Ingredients per panellets,-,-,-,FRIT RAVICH Pinyons crus,"5,95 €",0.06kg,"(99,17 € per quilo)"
204,Castanyada,Ingredients per panellets,-,-,-,BONPREU Ametlles crues amb closca eco Km0,"3,89 €",0.12kg,"(32,42 € per quilo)"
205,Castanyada,Ingredients per panellets,-,-,-,MONTSANT Pinyons del país,"3,75 €",0.03kg,"(125,00 € per quilo)"
206,Castanyada,Ingredients per panellets,-,-,-,FRIT RAVICH Coco ratllat,"0,45 €",0.06kg,"(7,50 € per quilo)"
207,Castanyada,Ingredients per panellets,-,-,-,TORRAS Xocolata en pols sense sucre,"1,99 €",0.18kg,"(11,06 € per quilo)"
